Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,LED,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,142.231,-84.836,0,top
D2,LED,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,142.231,-77.978,180,top
D3,LED,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,150.359,-78.232,180,top
D4,LED,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,150.359,-84.836,180,top
Q1,BSS138,SOT-23,125.619,-78.6384,0,top
Q2,BSS138,SOT-23,125.9586,-85.8266,0,top
Q3,BSS138,SOT-23,168.0972,-84.9884,180,top
Q4,BSS138,SOT-23,163.2204,-86.614,180,top
Q5,BSS138,SOT-23,167.6908,-77.0128,180,top
Q6,BSS138,SOT-23,163.6014,-75.2856,180,top
R1,5K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,118.11,-77.715,270,top
R2,50k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,166.2848,-92.0496,0,top
R3,4k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,121.92,-77.47,270,top
R4,5K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,133.35,-73.152,0,top
R5,5K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,118.355,-83.82,180,top
R6,50k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,163.4744,-80.7974,0,top
R7,5K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,131.572,-82.296,0,top
R8,4k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,142.231,-89.916,0,top
R9,5K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,172.1612,-89.789,180,top
R10,5K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,172.965,-83.312,0,top
R11,5K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,157.979,-86.614,0,top
R12,5K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,150.377,-72.644,180,top
R13,5K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,173.473,-73.152,180,top
R14,5K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,173.346,-78.232,0,top
R15,5K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,157.725,-77.089,0,top
R16,5K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,150.368,-89.916,180,top
R17,50k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,166.488,-89.789,180,top
R18,50k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,159.3596,-80.7974,0,top
